id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16594555,Townhouse with small garden,17773312,Janus,,Amager Vest,55.6540244051199,12.568741048224888,Entire home/apt,1501,4,0,,,1,0
16595048,Cosy home in the heart of Nørrebro,7653806,Andreas,,Nrrebro,55.693302253144545,12.55446455647943,Entire home/apt,999,3,30,2018-05-30,1.44,2,0
16595197,Hyggelig lejlighed i Sydhavnen,69992192,Hanne,,Vesterbro-Kongens Enghave,55.655872408024685,12.536834221019733,Entire home/apt,599,2,3,2018-05-21,0.14,1,0
16595280,Big city apartment in Copenhagen west,11566926,Signe,,Vesterbro-Kongens Enghave,55.67011554118916,12.545115778028809,Entire home/apt,782,2,5,2018-07-02,0.31,1,260
16597976,"3 room apartment at Jægersborggade, Nørrebro",15138891,Mads,,Nrrebro,55.69384775434804,12.54247931775764,Entire home/apt,698,2,13,2018-09-25,0.61,1,17
16598144,"Lovely villa, perfect for families",226032,Marie-Louise,,Vanlse,55.69666301463493,12.496954582798313,Entire home/apt,1248,7,0,,,1,108
16598164,Charming house near Copenhagen,106642290,Merete,,Vanlse,55.696306185609814,12.471873864092023,Entire home/apt,702,40,0,,,1,0
16598946,Wonderful 4-room appartment close to everything,2809086,Signe & Anders,,Valby,55.662231815292465,12.51850617310146,Entire home/apt,599,2,6,2018-07-05,0.34,1,0
16599147,"Family house by metro, Royal Arena & Bella Center",3640535,Samantha,,Amager Vest,55.64488184388405,12.593336309807562,Entire home/apt,1002,4,6,2018-09-21,0.38,1,107
16599160,"Great room,wifi,free parki,public trans,city bikes",109495778,Joakim,,Valby,55.66591649667733,12.506552475930208,Private room,380,3,0,,,1,0
16599817,"Room in a new, cosy apartment",15000042,Mathilde,,Amager st,55.668002334998945,12.601309919389687,Private room,503,2,0,,,2,0
16600153,Værelse i hyggelig vintage lejlighed,58315723,Frederikke,,Amager Vest,55.662654248158574,12.596793920726858,Private room,401,1,3,2018-10-14,3,1,34
16600774,Cosy and Nice Room in Nørrebro,80736134,Christoph,,Nrrebro,55.69187385846482,12.551584371638812,Private room,348,2,6,2018-04-15,0.28,4,0
16602204,Luxury Apartment in Central Copenhagen,36993293,S. Kristinn,,Indre By,55.67446836635742,12.572882195556048,Entire home/apt,2263,3,7,2018-08-25,0.50,1,136
16606222,Charming new house in a cozy garden community,84730234,Louise,,Amager Vest,55.6450727265626,12.596576271470843,Entire home/apt,999,2,6,2018-08-19,0.29,1,0
16608046,Bright cozy room in Østerbro with great location,71265996,Casper,,sterbro,55.70170639601925,12.577759526302255,Private room,284,3,2,2017-05-07,0.11,2,75
16609202,A light and cozy space close to downtown!,35625256,Karen Sofie,,Nrrebro,55.704787143150334,12.54793417782867,Entire home/apt,453,2,23,2018-09-09,1.13,1,4
